4.76	15.11	21.29	25.92	40.31	53.03	57.20	62.90	70.28	73.60	76.23	80.74	82.76	89.89	92.39	96.68
0.00	12.60	20.10	25.80	43.28	53.76	57.67	65.76	70.87	75.75	80.62	83.05	89.06	88.80	94.06	96.79
0.00	11.06	19.62	23.78	34.13	58.03	60.53	66.00	68.49	74.20	79.08	82.76	86.09	91.92	96.32	98.22
0.00	11.42	13.91	22.71	23.78	42.69	53.39	67.18	68.38	71.46	80.03	84.19	91.56	93.46	94.42	96.08
0.00	0.00	16.88	24.26	28.54	36.15	50.77	65.40	66.83	75.52	80.62	85.73	89.18	90.01	94.18	89.06
0.00	0.00	15.81	20.69	28.18	38.53	48.40	66.95	65.04	73.01	76.70	83.95	90.13	88.24	88.35	89.18
0.00	0.00	16.77	19.86	27.23	30.44	48.39	54.23	66.35	71.12	75.39	71.35	79.55	84.19	87.88	86.45
0.00	0.00	18.43	20.35	24.51	31.51	38.65	51.13	53.16	68.85	69.68	75.86	75.03	78.25	80.98	82.17
0.00	0.00	12.37	18.33	23.07	28.18	47.21	51.49	56.37	55.06	65.28	69.92	72.18	74.79	72.77	72.77
0.00	0.00	13.80	20.81	22.95	23.55	42.81	53.15	52.44	51.73	59.22	61.71	63.38	65.99	70.16	73.96
0.00	0.00	0.00	17.60	20.45	27.95	31.51	50.77	53.51	51.61	52.91	54.35	57.91	58.74	64.80	71.11
0.00	0.00	0.00	15.70	17.60	24.61	25.57	26.16	31.40	51.49	44.12	48.88	45.78	54.23	57.67	57.67
0.00	0.00	0.00	0.00	19.38	23.19	28.42	31.51	35.55	35.91	36.27	49.59	47.32	46.15	48.75	51.61
0.00	0.00	0.00	13.80	20.00	24.52	23.31	27.95	30.56	32.71	31.63	31.27	34.96	44.59	43.29	48.64
0.00	0.00	0.00	14.03	16.77	19.75	22.96	28.42	33.29	32.46	31.51	33.17	34.72	39.24	42.46	49.58
0.00	0.00	0.00	0.00	0.00	20.70	27.94	27.47	27.47	30.92	32.59	35.32	34.60	34.25	34.01	37.22
0.00	0.00	0.00	0.00	0.00	17.21	16.77	22.00	23.80	24.75	28.54	31.39	27.59	34.60	33.91	37.69
0.00	0.00	0.00	0.00	0.00	20.45	15.46	26.99	22.72	26.76	25.93	26.88	32.22	32.06	32.95	34.48
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.79	25.81	32.83	28.00	26.29	36.79	34.25	34.84
